y_test,y_pred,MAE,RMSE,R^2,adj-R^2,Model,Training_time,Data_number,best_params
230.0,223.8492831533385,18.744671233497183,27.343856182237907,0.5037099984029793,0.4489721305797785,LinearRegression,0.0473086833953857,X2,"[['fit_intercept', True]]"
230.0,218.65948485219545,18.731726625075424,27.17154192774815,0.509945284667533,0.4436220901112592,LinearRegression,0.0384354591369628,X3,"[['fit_intercept', True]]"
230.0,227.74472080206303,18.731726625075424,27.17154192774815,0.509945284667533,0.4436220901112592,LinearRegression,0.0384354591369628,X3,"[['fit_intercept', True]]"
230.0,234.21031021154127,18.016521670997072,26.898915515935837,0.5197299049167807,0.4588001167345812,LinearRegression,0.02764892578125,X4,"[['fit_intercept', True]]"
230.0,231.8009227146761,18.016521670997072,26.898915515935837,0.5197299049167807,0.4588001167345812,LinearRegression,0.02764892578125,X4,"[['fit_intercept', True]]"
230.0,226.03333333333336,8.267843557080345,13.887809014418972,0.8719783340417145,0.8415469544286794,RandomForestRegressor,358.2950973510742,X0,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 50]]"
230.0,223.94285714285715,8.267843557080345,13.887809014418972,0.8719783340417145,0.8415469544286794,RandomForestRegressor,358.2950973510742,X0,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 50]]"
230.0,233.69,12.84442303833562,20.78859068309875,0.7131425720358002,0.681503885127984,RandomForestRegressor,256.40137100219727,X1,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
230.0,229.19,12.84442303833562,20.78859068309875,0.7131425720358002,0.681503885127984,RandomForestRegressor,256.40137100219727,X1,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
230.0,233.81,12.842894736842108,20.94192825912949,0.7088952187851497,0.6767880737982177,RandomForestRegressor,266.47928857803345,X2,"[['bootstrap', True], ['max_depth', None], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
230.0,228.18,12.842894736842108,20.94192825912949,0.7088952187851497,0.6767880737982177,RandomForestRegressor,266.47928857803345,X2,"[['bootstrap', True], ['max_depth', None], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
230.0,227.5,8.942078527284119,15.371873620708325,0.8431553844360247,0.8219282936078175,RandomForestRegressor,187.0207974910736,X3,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 50]]"
230.0,219.24,8.942078527284119,15.371873620708325,0.8431553844360247,0.8219282936078175,RandomForestRegressor,187.0207974910736,X3,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 50]]"
230.0,225.68,7.524764075653877,12.87124702314798,0.8900342972106045,0.8760834244686662,RandomForestRegressor,183.3610751628876,X4,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
230.0,221.5,7.524764075653877,12.87124702314798,0.8900342972106045,0.8760834244686662,RandomForestRegressor,183.3610751628876,X4,"[['bootstrap', True], ['max_depth', 20], ['min_samples_leaf', 1], ['min_samples_split', 2], ['n_estimators', 100]]"
230.0,227.93887366456568,10.619709170833616,17.821960247758607,0.7891726524891302,0.739057955129989,SVR,24.79387617111206,X0,"[['C', 1000], ['epsilon', 0.8], ['kernel', 'rbf']]"
230.0,223.33636873460736,10.619709170833616,17.821960247758607,0.7891726524891302,0.739057955129989,SVR,24.79387617111206,X0,"[['C', 1000], ['epsilon', 0.8], ['kernel', 'rbf']]"
230.0,236.979841782196,16.123730189063465,25.63776915394337,0.5637087842082877,0.5155884295253783,SVR,10.69903016090393,X1,"[['C', 100], ['epsilon', 0.5], ['kernel', 'rbf']]"
230.0,236.1647125062688,16.123730189063465,25.63776915394337,0.5637087842082877,0.5155884295253783,SVR,10.69903016090393,X1,"[['C', 100], ['epsilon', 0.5], ['kernel', 'rbf']]"
230.0,238.26844552996295,14.228890684498332,23.09501138956924,0.645959973121425,0.6069114407451115,SVR,10.993130445480348,X2,"[['C', 1000], ['epsilon', 0.8], ['kernel', 'rbf']]"
230.0,218.96343501891408,14.228890684498332,23.09501138956924,0.645959973121425,0.6069114407451115,SVR,10.993130445480348,X2,"[['C', 1000], ['epsilon', 0.8], ['kernel', 'rbf']]"
230.0,227.61082950673665,12.406822343731504,21.96604785103392,0.6797273492903919,0.6363821785176631,SVR,17.437403917312622,X3,"[['C', 1000], ['epsilon', 0.8], ['kernel', 'rbf']]"
230.0,228.39584839049044,12.406822343731504,21.96604785103392,0.6797273492903919,0.6363821785176631,SVR,17.437403917312622,X3,"[['C', 1000], ['epsilon', 0.8], ['kernel', 'rbf']]"
230.0,233.4963511410936,8.574888124467392,15.08104175875699,0.8490341597653561,0.8298817770490207,SVR,25.215386867523197,X4,"[['C', 1000], ['epsilon', 0.3], ['kernel', 'rbf']]"
230.0,229.3922009341474,8.574888124467392,15.08104175875699,0.8490341597653561,0.8298817770490207,SVR,25.215386867523197,X4,"[['C', 1000], ['epsilon', 0.3], ['kernel', 'rbf']]"
230.0,225.70616149902344,6.549004805715461,10.89374247198406,0.9212283010932516,0.9025038808613196,XGBRegressor,78.79577016830444,X0,"[['learning_rate', 0.1], ['max_depth', 5], ['n_estimators', 300]]"
230.0,225.3682556152344,6.549004805715461,10.89374247198406,0.9212283010932516,0.9025038808613196,XGBRegressor,78.79577016830444,X0,"[['learning_rate', 0.1], ['max_depth', 5], ['n_estimators', 300]]"
230.0,232.10174560546875,13.546503568950452,23.215085234404505,0.6422690065838893,0.6028133823100537,XGBRegressor,51.33894467353821,X1,"[['learning_rate', 0.1], ['max_depth', 5], ['n_estimators', 100]]"
230.0,226.57192993164065,13.546503568950452,23.215085234404505,0.6422690065838893,0.6028133823100537,XGBRegressor,51.33894467353821,X1,"[['learning_rate', 0.1], ['max_depth', 5], ['n_estimators', 100]]"
230.0,232.5281982421875,14.228770507009406,24.390594826095157,0.6051239559893178,0.5615714511351984,XGBRegressor,61.19733238220215,X2,"[['learning_rate', 0.05], ['max_depth', 5], ['n_estimators', 300]]"
230.0,229.74151611328125,14.228770507009406,24.390594826095157,0.6051239559893178,0.5615714511351984,XGBRegressor,61.19733238220215,X2,"[['learning_rate', 0.05], ['max_depth', 5], ['n_estimators', 300]]"
230.0,226.30120849609372,7.343915537783974,12.779896473870734,0.8915896678507901,0.8769175928230775,XGBRegressor,46.93808054924011,X3,"[['learning_rate', 0.05], ['max_depth', 7], ['n_estimators', 300]]"
230.0,223.2378692626953,7.343915537783974,12.779896473870734,0.8915896678507901,0.8769175928230775,XGBRegressor,46.93808054924011,X3,"[['learning_rate', 0.05], ['max_depth', 7], ['n_estimators', 300]]"
230.0,224.6382751464844,6.752847169574938,11.73413649776351,0.9086058758543972,0.8970110989105521,XGBRegressor,40.25892353057861,X4,"[['learning_rate', 0.1], ['max_depth', 3], ['n_estimators', 300]]"
230.0,225.64414978027344,6.752847169574938,11.73413649776351,0.9086058758543972,0.8970110989105521,XGBRegressor,40.25892353057861,X4,"[['learning_rate', 0.1], ['max_depth', 3], ['n_estimators', 300]]"
231.0,233.2,12.98009797195235,19.388941443546084,0.7504691755006839,0.6911544713164203,AdaBoostRegressor,12.36083722114563,X0,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,217.43543543543544,12.98009797195235,19.388941443546084,0.7504691755006839,0.6911544713164203,AdaBoostRegressor,12.36083722114563,X0,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,217.26735218509,12.98009797195235,19.388941443546084,0.7504691755006839,0.6911544713164203,AdaBoostRegressor,12.36083722114563,X0,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,236.1304347826087,17.24549772707857,25.56561895515112,0.5661609635791806,0.518311069856296,AdaBoostRegressor,10.28949737548828,X1,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,214.8831615120275,17.24549772707857,25.56561895515112,0.5661609635791806,0.518311069856296,AdaBoostRegressor,10.28949737548828,X1,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,214.7962962962963,17.24549772707857,25.56561895515112,0.5661609635791806,0.518311069856296,AdaBoostRegressor,10.28949737548828,X1,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,233.85416666666663,16.89645067546108,24.8330433135146,0.5906678132525092,0.5455208808906535,AdaBoostRegressor,10.87695050239563,X2,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,215.38795986622077,16.89645067546108,24.8330433135146,0.5906678132525092,0.5455208808906535,AdaBoostRegressor,10.87695050239563,X2,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,215.22758620689652,16.89645067546108,24.8330433135146,0.5906678132525092,0.5455208808906535,AdaBoostRegressor,10.87695050239563,X2,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,234.3125,13.143442944005535,19.8117919489504,0.7394665317925608,0.7042063631629826,AdaBoostRegressor,8.6286039352417,X3,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,216.82285714285717,13.143442944005535,19.8117919489504,0.7394665317925608,0.7042063631629826,AdaBoostRegressor,8.6286039352417,X3,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,216.75906735751292,13.143442944005535,19.8117919489504,0.7394665317925608,0.7042063631629826,AdaBoostRegressor,8.6286039352417,X3,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,232.66666666666663,13.021050491106466,19.03983571551965,0.7593740856788972,0.7288469174441304,AdaBoostRegressor,8.982486248016357,X4,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,216.16666666666663,13.021050491106466,19.03983571551965,0.7593740856788972,0.7288469174441304,AdaBoostRegressor,8.982486248016357,X4,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,216.16666666666663,13.021050491106466,19.03983571551965,0.7593740856788972,0.7288469174441304,AdaBoostRegressor,8.982486248016357,X4,"[['learning_rate', 0.01], ['n_estimators', 100]]"
231.0,236.83333333333331,11.148361543427336,17.870363177083647,0.7880259190708578,0.7376386375385207,DecisionTreeRegressor,24.0926513671875,X0,"[['criterion', 'squared_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 4], ['min_samples_split', 10]]"
231.0,222.55555555555557,11.148361543427336,17.870363177083647,0.7880259190708578,0.7376386375385207,DecisionTreeRegressor,24.0926513671875,X0,"[['criterion', 'squared_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 4], ['min_samples_split', 10]]"
231.0,222.55555555555557,11.148361543427336,17.870363177083647,0.7880259190708578,0.7376386375385207,DecisionTreeRegressor,24.0926513671875,X0,"[['criterion', 'squared_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 4], ['min_samples_split', 10]]"
231.0,241.5,16.25,28.764698759709653,0.4507935058690305,0.3902192601928207,DecisionTreeRegressor,18.747875928878784,X1,"[['criterion', 'absolute_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 10]]"
231.0,219.0,16.25,28.764698759709653,0.4507935058690305,0.3902192601928207,DecisionTreeRegressor,18.747875928878784,X1,"[['criterion', 'absolute_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 10]]"
231.0,224.0,16.25,28.764698759709653,0.4507935058690305,0.3902192601928207,DecisionTreeRegressor,18.747875928878784,X1,"[['criterion', 'absolute_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 10]]"
231.0,226.0,16.54605263157895,29.16085155063025,0.4355617878249739,0.373307573246846,DecisionTreeRegressor,20.66589903831482,X2,"[['criterion', 'absolute_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 4], ['min_samples_split', 10]]"
231.0,220.0,16.54605263157895,29.16085155063025,0.4355617878249739,0.373307573246846,DecisionTreeRegressor,20.66589903831482,X2,"[['criterion', 'absolute_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 4], ['min_samples_split', 10]]"
231.0,220.0,16.54605263157895,29.16085155063025,0.4355617878249739,0.373307573246846,DecisionTreeRegressor,20.66589903831482,X2,"[['criterion', 'absolute_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 4], ['min_samples_split', 10]]"
231.0,234.5,10.247749404470932,17.30084697493192,0.8013215637086409,0.7744327527819909,DecisionTreeRegressor,17.916908502578735,X3,"[['criterion', 'squared_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 5]]"
231.0,223.33333333333331,10.247749404470932,17.30084697493192,0.8013215637086409,0.7744327527819909,DecisionTreeRegressor,17.916908502578735,X3,"[['criterion', 'squared_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 5]]"
231.0,218.07894736842104,10.247749404470932,17.30084697493192,0.8013215637086409,0.7744327527819909,DecisionTreeRegressor,17.916908502578735,X3,"[['criterion', 'squared_error'], ['max_depth', 10], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 5]]"
231.0,236.83333333333331,8.708549174769674,14.31548958569048,0.8639719682051675,0.8467146805894052,DecisionTreeRegressor,16.559958696365356,X4,"[['criterion', 'squared_error'], ['max_depth', 7], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 10]]"
231.0,217.52694610778445,8.708549174769674,14.31548958569048,0.8639719682051675,0.8467146805894052,DecisionTreeRegressor,16.559958696365356,X4,"[['criterion', 'squared_error'], ['max_depth', 7], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 10]]"
231.0,217.52694610778445,8.708549174769674,14.31548958569048,0.8639719682051675,0.8467146805894052,DecisionTreeRegressor,16.559958696365356,X4,"[['criterion', 'squared_error'], ['max_depth', 7], ['max_features', None], ['min_samples_leaf', 2], ['min_samples_split', 10]]"
231.0,238.3185348076215,17.455436041301112,26.179998672180545,0.5450588261012943,0.4369170716499626,ElasticNet,0.8486239910125732,X0,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,216.6591239226235,17.455436041301112,26.179998672180545,0.5450588261012943,0.4369170716499626,ElasticNet,0.8486239910125732,X0,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,237.1853657294076,17.455436041301112,26.179998672180545,0.5450588261012943,0.4369170716499626,ElasticNet,0.8486239910125732,X0,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,231.12948320863745,18.330545146710417,27.210806107499582,0.5085279562732621,0.4543214808622248,ElasticNet,0.3137931823730469,X1,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,218.16749111989648,18.330545146710417,27.210806107499582,0.5085279562732621,0.4543214808622248,ElasticNet,0.3137931823730469,X1,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,217.14509819262943,18.330545146710417,27.210806107499582,0.5085279562732621,0.4543214808622248,ElasticNet,0.3137931823730469,X1,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,230.5412761822052,18.729473351531187,27.59662342989743,0.4944921566231065,0.4387376150741844,ElasticNet,0.4790773391723633,X2,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,219.5744876205279,18.729473351531187,27.59662342989743,0.4944921566231065,0.4387376150741844,ElasticNet,0.4790773391723633,X2,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,221.8593349910568,18.729473351531187,27.59662342989743,0.4944921566231065,0.4387376150741844,ElasticNet,0.4790773391723633,X2,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,237.7035149672701,18.63733717929008,27.05683370920592,0.5140742109998284,0.4483098185035645,ElasticNet,0.2871768474578857,X3,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,227.15846445250185,18.63733717929008,27.05683370920592,0.5140742109998284,0.4483098185035645,ElasticNet,0.2871768474578857,X3,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,244.3676961931565,18.63733717929008,27.05683370920592,0.5140742109998284,0.4483098185035645,ElasticNet,0.2871768474578857,X3,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,235.97884381594807,18.073492334346213,27.56919965867583,0.4954963405902061,0.4314921449934411,ElasticNet,0.2800500392913818,X4,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,213.9168227292873,18.073492334346213,27.56919965867583,0.4954963405902061,0.4314921449934411,ElasticNet,0.2800500392913818,X4,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,226.6666333764657,18.073492334346213,27.56919965867583,0.4954963405902061,0.4314921449934411,ElasticNet,0.2800500392913818,X4,"[['alpha', 0.1], ['l1_ratio', 0.9]]"
231.0,239.3697039353448,17.8755871958915,26.03794316850193,0.5499825514339095,0.443011190709183,LinearRegression,0.5321118831634521,X0,"[['fit_intercept', True]]"
231.0,208.64987346638247,17.8755871958915,26.03794316850193,0.5499825514339095,0.443011190709183,LinearRegression,0.5321118831634521,X0,"[['fit_intercept', True]]"
231.0,230.98156637310652,17.8755871958915,26.03794316850193,0.5499825514339095,0.443011190709183,LinearRegression,0.5321118831634521,X0,"[['fit_intercept', True]]"
231.0,232.34571021377403,18.438866060370064,27.049212853218748,0.5143479051784445,0.4607833358966553,LinearRegression,0.0307035446166992,X1,"[['fit_intercept', True]]"
231.0,211.8611268009543,18.438866060370064,27.049212853218748,0.5143479051784445,0.4607833358966553,LinearRegression,0.0307035446166992,X1,"[['fit_intercept', True]]"
231.0,213.6602148506754,18.438866060370064,27.049212853218748,0.5143479051784445,0.4607833358966553,LinearRegression,0.0307035446166992,X1,"[['fit_intercept', True]]"
231.0,232.62915031510695,18.744671233497183,27.343856182237907,0.5037099984029793,0.4489721305797785,LinearRegression,0.0473086833953857,X2,"[['fit_intercept', True]]"
231.0,211.3392438548635,18.744671233497183,27.343856182237907,0.5037099984029793,0.4489721305797785,LinearRegression,0.0473086833953857,X2,"[['fit_intercept', True]]"
231.0,214.92311042087127,18.744671233497183,27.343856182237907,0.5037099984029793,0.4489721305797785,LinearRegression,0.0473086833953857,X2,"[['fit_intercept', True]]"
